time_hour,precip_intensity,temperature,humidity,wind_speed,wind_gust,weather_summary,cloud_cover,zip,weather_status
2019-05-13 00:00:00,0.0003,43.91,0.93,8.56,8.56,Overcast,1.0,07306,observed
2019-05-13 01:00:00,0.0023,43.59,0.92,8.45,8.45,Overcast,1.0,07306,observed
2019-05-13 02:00:00,0.0033,43.0,0.92,7.69,7.69,Overcast,1.0,07306,observed
2019-05-13 03:00:00,0.0,42.89,0.92,5.74,5.74,Overcast,1.0,07306,observed
2019-05-13 04:00:00,0.0,42.89,0.92,5.1,5.1,Overcast,1.0,07306,observed
2019-05-13 05:00:00,0.0,43.54,0.93,5.55,5.55,Overcast,1.0,07306,observed
2019-05-13 06:00:00,0.0,44.12,0.94,5.37,5.37,Overcast,1.0,07306,observed
2019-05-13 07:00:00,0.0023,44.35,0.95,4.9,4.9,Overcast,1.0,07306,observed
2019-05-13 08:00:00,0.0,44.62,0.95,7.08,7.08,Overcast,1.0,07306,observed
2019-05-13 09:00:00,0.0077,45.55,0.95,7.28,7.28,Possible Drizzle,1.0,07306,observed
2019-05-13 10:00:00,0.0105,46.1,0.93,7.16,7.16,Possible Drizzle,1.0,07306,observed
2019-05-13 11:00:00,0.0149,46.33,0.94,8.16,8.22,Drizzle,1.0,07306,observed
2019-05-13 12:00:00,0.0157,46.96,0.91,7.71,8.28,Possible Drizzle,1.0,07306,observed
2019-05-13 13:00:00,0.0042,47.25,0.91,7.49,7.49,Drizzle,1.0,07306,observed
2019-05-13 14:00:00,0.0666,47.12,0.94,6.61,6.61,Light Rain,1.0,07306,observed
2019-05-13 15:00:00,0.0988,47.5,0.94,6.5,6.5,Rain,1.0,07306,observed
2019-05-13 16:00:00,0.0048,47.66,0.92,6.33,6.33,Drizzle,1.0,07306,observed
2019-05-13 17:00:00,0.0801,47.48,0.94,4.43,4.43,Light Rain,1.0,07306,observed
2019-05-13 18:00:00,0.1748,47.28,0.96,7.67,7.73,Rain,1.0,07306,observed
2019-05-13 19:00:00,0.0732,46.87,0.95,9.32,9.32,Light Rain,1.0,07306,observed
2019-05-13 20:00:00,0.0,46.86,0.92,8.68,8.68,Overcast,1.0,07306,observed
2019-05-13 21:00:00,0.0022,46.35,0.9,7.85,7.85,Overcast,1.0,07306,observed
2019-05-13 22:00:00,0.0029,46.21,0.9,5.01,5.01,Possible Drizzle,1.0,07306,observed
2019-05-13 23:00:00,0.0,46.24,0.89,2.69,2.69,Overcast,1.0,07306,observed
2019-05-14 00:00:00,0.0,46.12,0.9,3.97,3.97,Overcast,1.0,07306,observed
2019-05-14 01:00:00,0.0,45.8,0.91,4.41,4.41,Overcast,1.0,07306,observed
2019-05-14 02:00:00,0.0,45.56,0.9,5.04,5.04,Overcast,1.0,07306,observed
2019-05-14 03:00:00,0.0,44.85,0.92,2.31,2.31,Overcast,1.0,07306,observed
2019-05-14 04:00:00,0.0,44.73,0.92,3.82,3.82,Overcast,1.0,07306,observed
2019-05-14 05:00:00,0.0,44.37,0.94,4.28,4.28,Overcast,1.0,07306,observed
2019-05-14 06:00:00,0.0,44.43,0.92,2.68,2.68,Overcast,1.0,07306,observed
2019-05-14 07:00:00,0.0,44.57,0.94,3.63,3.63,Overcast,1.0,07306,observed
2019-05-14 08:00:00,0.0,45.03,0.94,3.92,3.92,Overcast,1.0,07306,observed
2019-05-14 09:00:00,0.0012,45.82,0.92,0.35,0.71,Overcast,1.0,07306,observed
2019-05-14 10:00:00,0.0004,47.03,0.89,1.42,1.42,Overcast,1.0,07306,observed
2019-05-14 11:00:00,0.0,48.37,0.85,0.85,1.37,Overcast,1.0,07306,observed
2019-05-14 12:00:00,0.0,49.54,0.83,3.69,3.69,Overcast,1.0,07306,observed
2019-05-14 13:00:00,0.0,50.7,0.81,4.18,4.18,Overcast,1.0,07306,observed
2019-05-14 14:00:00,0.0012,50.89,0.81,4.19,4.19,Overcast,1.0,07306,observed
2019-05-14 15:00:00,0.0038,51.21,0.82,5.57,5.57,Possible Drizzle,1.0,07306,observed
2019-05-14 16:00:00,0.0011,50.85,0.83,5.8,5.8,Overcast,1.0,07306,observed
2019-05-14 17:00:00,0.011,50.21,0.91,3.82,3.82,Possible Drizzle,1.0,07306,observed
2019-05-14 18:00:00,0.0118,49.54,0.93,3.94,3.94,Drizzle,1.0,07306,observed
2019-05-14 19:00:00,0.0739,48.78,0.94,4.32,4.32,Light Rain,1.0,07306,observed
2019-05-14 20:00:00,0.0813,48.87,0.92,3.01,3.01,Light Rain,1.0,07306,observed
2019-05-14 21:00:00,0.0169,47.96,0.92,4.19,4.19,Possible Light Rain,1.0,07306,observed
2019-05-14 22:00:00,0.0062,47.56,0.9,1.72,1.72,Possible Drizzle,1.0,07306,observed
